"N","sV","Data.Seed","SS.Seed","Eff_Est_IPS","Eff_Est_CPS_G","SE_Est_IPS","SE_Est_CPS_G","Cover_Est_IPS","Cover_Est_CPS_G"
25,1.5,46,1,2.74499508854958,4.03723781419681,2.07298845694274,0.0612218935261328,1,1
25,1.5,46,2,3.5482005748749,3.93856757148682,1.56156881671406,0.0488689534621797,1,1
25,1.5,46,3,4.71498272885184,3.97673966566189,0.931640016912688,0.0541765729557231,1,1
25,1.5,46,4,2.73587787088881,4.03001465561368,1.19967833994268,0.05004682220384,1,1
25,1.5,46,5,3.35879343253,3.89786012846046,1.82488823762533,0.0750538025855945,1,1
25,1.5,46,6,7.0294027533891,4.10785275905127,3.60949753643588,0.126145802493816,1,1
25,1.5,47,5,3.8919442095657,3.86751604566183,0.546186751619678,0.0719208131393429,1,1
25,1.5,48,1,4.84380905049927,3.96656355490968,1.23147221309519,0.0666755314938069,1,1
25,1.5,48,2,4.03168996995887,3.99556888221322,0.540102149209758,0.059194727884475,1,1
25,1.5,48,3,5.28066707071252,3.94697340178211,3.7171741830743,0.0737907403981648,1,1
25,1.5,48,4,2.32377747402248,4.01442358045555,2.92659400687358,0.0632416450628905,1,1
25,1.5,48,5,1.28632944566303,3.89585167473084,1.07968158864556,0.0836760854242004,0,1
25,1.5,48,6,-4.56305754398392,4.37317527846904,4.77063698153187,0.217570753743167,1,1
25,1.5,49,1,-10.8090645092907,4.04885677795344,12.801792151212,0.0557617855501806,1,1
25,1.5,49,4,9.54643323971141,4.11109931719789,4.23333647088513,0.0668964552425829,1,1
25,1.5,49,5,3.60617779557519,4.03797300935395,0.883380331545168,0.0523285748809333,1,1
25,1.5,50,1,24.5055347052054,4.06244891087074,17.5045693084343,0.258439803403233,1,1
25,1.5,50,2,20.9670336698451,3.95823182894963,8.80021790112567,0.0806271427801704,1,1
25,1.5,50,3,4.71247067423716,3.93867832344495,2.15919317095756,0.0584732452969252,1,1
25,1.5,50,4,6.04050958395608,3.9778819667787,1.3118362443701,0.0605658519209287,1,1
25,1.5,50,5,4.84993027032541,3.97357138372547,1.02354852201213,0.0536200775756682,1,1
